LAB_ar,LAB_tr,LAB1,LAB2,LAB3,LAB4,LAB5,C1,C2,C3,C4,C5,P1,P2,P3,P4,P5,M1,M2,M3,M4,M5
خنشفر,ḪNŠFR,Ḫ,N,Š,F,R,7,25,13,20,10,7,4,5,2,4,3,5,3,3,8
دختنس,DḪTNS,D,Ḫ,T,N,S,8,7,3,25,12,4,7,4,4,4,1,3,1,5,3
دخدنس,DḪDNS,D,Ḫ,D,N,S,8,7,8,25,12,4,7,4,4,4,1,3,1,5,3
درحمن,DRḤMN,D,R,Ḥ,M,N,8,10,6,24,25,4,4,8,1,4,1,8,3,5,5
درخبل,DRḪBL,D,R,Ḫ,B,L,8,10,7,2,23,4,4,7,1,4,1,8,3,1,6
درخبن,DRḪBN,D,R,Ḫ,B,N,8,10,7,2,25,4,4,7,1,4,1,8,3,1,5
درخمل,DRḪML,D,R,Ḫ,M,L,8,10,7,24,23,4,4,7,1,4,1,8,3,5,6
درخمن,DRḪMN,D,R,Ḫ,M,N,8,10,7,24,25,4,4,7,1,4,1,8,3,5,5
دردبس,DRDBS,D,R,D,B,S,8,10,8,2,12,4,4,4,1,4,1,8,1,1,3
دردقس,DRDQS,D,R,D,Q,S,8,10,8,21,12,4,4,4,7,4,1,8,1,1,3
دلعثم,DLʿṮM,D,L,ʿ,Ṯ,M,8,23,18,4,24,4,4,8,3,1,1,6,3,3,5
دلعمظ,DLʿMẒ,D,L,ʿ,M,Ẓ,8,23,18,24,17,4,4,8,1,3,1,6,3,5,4
دلهمس,DLHMS,D,L,H,M,S,8,23,26,24,12,4,4,9,1,4,1,6,3,5,3
زبرجد,ZBRǦD,Z,B,R,Ǧ,D,11,2,10,5,8,4,1,4,5,4,3,1,8,1,1
زبردج,ZBRDǦ,Z,B,R,D,Ǧ,11,2,10,8,5,4,1,4,4,5,3,1,8,1,1
زبنتر,ZBNTR,Z,B,N,T,R,11,2,25,3,10,4,1,4,4,4,3,1,5,1,8
زحنقف,ZḤNQF,Z,Ḥ,N,Q,F,11,6,25,21,20,4,8,4,7,2,3,3,5,1,3
زلنبر,ZLNBR,Z,L,N,B,R,11,23,25,2,10,4,4,4,1,4,3,6,5,1,8
